"id"	"name"	"tc"	"exid"	"exname"	"fullname"
"gnl|TC-DB|A4V408|2.A.7.10.4"	"ER GDP-fucose transporter, isoform B"	"2.A.7.10.4"	"EX_fuc_L(e)"	"fucose"	"gnl|TC-DB|A4V408|2.A.7.10.4 ER GDP-fucose transporter, isoform B OS=Drosophila melanogaster GN=Efr PE=4 SV=1"
"gnl|TC-DB|A5LGM7|2.A.1.1.129"	"Facilitated trehalose transporter Tret1"	"2.A.1.1.129"	"EX_tre(e)"	"trehalose"	"gnl|TC-DB|A5LGM7|2.A.1.1.129 Facilitated trehalose transporter Tret1 OS=Polypedilum vanderplanki GN=Tret1 PE=1 SV=1"
"gnl|TC-DB|A6LW10|3.A.1.2.26"	"D-xylose ABC transporter, periplasmic substrate-binding protein"	"3.A.1.2.26"	"EX_xyl_D(e)"	"Xylose"	"gnl|TC-DB|A6LW10|3.A.1.2.26 D-xylose ABC transporter, periplasmic substrate-binding protein OS=Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052) GN=Cbei_2380 PE=4 SV=1"
"gnl|TC-DB|A6LW11|3.A.1.2.26"	"Xylose import ATP-binding protein XylG"	"3.A.1.2.26"	"EX_xyl_D(e)"	"Xylose"	"gnl|TC-DB|A6LW11|3.A.1.2.26 Xylose import ATP-binding protein XylG OS=Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052) GN=xylG PE=3 SV=1"
"gnl|TC-DB|A7ZUZ0|2.A.2.1.1"	"Melibiose carrier protein"	"2.A.2.1.1"	"EX_melib(e)"	"melibiose"	"gnl|TC-DB|A7ZUZ0|2.A.2.1.1 Melibiose carrier protein OS=Escherichia coli O139:H28 (strain E24377A / ETEC) GN=melB PE=4 SV=1"
"gnl|TC-DB|B1PLB6|2.A.36.5.2"	"Sodium/hydrogen exchanger"	"2.A.36.5.2"	"EX_h2(e)"	"Hydrogen"	"gnl|TC-DB|B1PLB6|2.A.36.5.2 Sodium/hydrogen exchanger OS=Salicornia brachiata GN=Nhx1 PE=2 SV=1"
"gnl|TC-DB|B1PM37|2.A.1.1.64"	"Glucose sensor - Pichia angusta (Yeast) (Hansenula polymorpha)."	"2.A.1.1.64"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|B1PM37|2.A.1.1.64 Glucose sensor - Pichia angusta (Yeast) (Hansenula polymorpha)."
"gnl|TC-DB|B3EE21|2.A.37.2.5"	"Sodium/hydrogen exchanger"	"2.A.37.2.5"	"EX_h2(e)"	"Hydrogen"	"gnl|TC-DB|B3EE21|2.A.37.2.5 Sodium/hydrogen exchanger OS=Chlorobium limicola (strain DSM 245 / NBRC 103803) GN=Clim_1681 PE=4 SV=1"
"gnl|TC-DB|B3W8U5|2.A.2.1.2"	"Putative melibiose permease II"	"2.A.2.1.2"	"EX_melib(e)"	"melibiose"	"gnl|TC-DB|B3W8U5|2.A.2.1.2 Putative melibiose permease II OS=Lactobacillus casei (strain BL23) GN=STY4498 PE=4 SV=1"
"gnl|TC-DB|B3WB09|4.A.6.1.13"	"Phosphoenolpyruvate-dependent sugar phosphotransferase system EIIAB, probable mannose specific"	"4.A.6.1.13"	"EX_man(e)"	"mannose"	"gnl|TC-DB|B3WB09|4.A.6.1.13 Phosphoenolpyruvate-dependent sugar phosphotransferase system EIIAB, probable mannose specific OS=Lactobacillus casei (strain BL23) GN=LCABL_28280 PE=4 SV=1"
"gnl|TC-DB|B8F5K7|4.D.1.3.2"	"UDP-glucose--lipooligosaccharideglucosyltransferase involved in cell wall biogenesis"	"4.D.1.3.2"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|B8F5K7|4.D.1.3.2 UDP-glucose--lipooligosaccharideglucosyltransferase involved in cell wall biogenesis OS=Haemophilus parasuis serovar 5 (strain SH0165) GN=igtF PE=4 SV=1"
"gnl|TC-DB|C1F9P1|1.B.19.1.8"	"Transporter, glucose-selective OprB porin (OprB) family"	"1.B.19.1.8"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|C1F9P1|1.B.19.1.8 Transporter, glucose-selective OprB porin (OprB) family OS=Acidobacterium capsulatum (strain ATCC 51196 / DSM 11244 / JCM 7670) GN=ACP_2200 PE=4 SV=1"
"gnl|TC-DB|C2ITH3|9.B.97.1.4"	"Fucose 4-O-acetylase"	"9.B.97.1.4"	"EX_fuc_L(e)"	"fucose"	"gnl|TC-DB|C2ITH3|9.B.97.1.4 Fucose 4-O-acetylase OS=Vibrio cholerae TMA 21 GN=VCB_002189 PE=4 SV=1"
"gnl|TC-DB|C4B4V9|2.A.1.1.116"	"L-arabinose transporter"	"2.A.1.1.116"	"EX_arab_L(e)"	"L-Arabinose"	"gnl|TC-DB|C4B4V9|2.A.1.1.116 L-arabinose transporter OS=Corynebacterium glutamicum GN=araE PE=3 SV=1"
"gnl|TC-DB|C4QVV9|2.A.1.1.125"	"Glycerol proton symporter of the plasma membrane, subject to glucose-induced inactivation"	"2.A.1.1.125"	"EX_glyc(e);EX_glc(e)"	"Glycerol;glucose"	"gnl|TC-DB|C4QVV9|2.A.1.1.125 Glycerol proton symporter of the plasma membrane, subject to glucose-induced inactivation OS=Komagataella pastoris (strain GS115 / ATCC 20864) GN=PAS_chr1-1_0028 PE=3 SV=1"
"gnl|TC-DB|C4X744|4.A.3.2.7"	"Cellobiose-specific PTS family enzyme IIB component"	"4.A.3.2.7"	"EX_cellb(e)"	"cellobiose"	"gnl|TC-DB|C4X744|4.A.3.2.7 Cellobiose-specific PTS family enzyme IIB component OS=Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 GN=celA PE=4 SV=1"
"gnl|TC-DB|C6A142|9.B.142.3.1"	"Putative membrane-bound dolichyl-phosphate-mannose-protein mannosyltransferase"	"9.B.142.3.1"	"EX_man(e)"	"mannose"	"gnl|TC-DB|C6A142|9.B.142.3.1 Putative membrane-bound dolichyl-phosphate-mannose-protein mannosyltransferase OS=Thermococcus sibiricus (strain MM 739 / DSM 12597) GN=TSIB_0270 PE=4 SV=1"
"gnl|TC-DB|C6VJ63|1.A.8.2.4"	"Glycerol uptake facilitator protein"	"1.A.8.2.4"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|C6VJ63|1.A.8.2.4 Glycerol uptake facilitator protein OS=Lactobacillus plantarum (strain JDM1) GN=glpF1 PE=3 SV=1"
"gnl|TC-DB|C7N0W9|2.A.1.84.2"	"Na+/melibiose symporter-like transporter"	"2.A.1.84.2"	"EX_melib(e)"	"melibiose"	"gnl|TC-DB|C7N0W9|2.A.1.84.2 Na+/melibiose symporter-like transporter OS=Slackia heliotrinireducens (strain ATCC 29202 / DSM 20476 / NCTC 11029 / RHS 1) GN=Shel_01230 PE=4 SV=1"
"gnl|TC-DB|C8X384|4.A.6.2.2"	"PTS system fructose subfamily IIA component"	"4.A.6.2.2"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|C8X384|4.A.6.2.2 PTS system fructose subfamily IIA component OS=Desulfohalobium retbaense (strain ATCC 49708 / DSM 5692 / JCM 16813 / HR100) GN=Dret_1597 PE=4 SV=1"
"gnl|TC-DB|C8X4S8|4.A.6.2.2"	"PTS system mannose/fructose/sorbose family IID component"	"4.A.6.2.2"	"EX_fru(e);EX_man(e)"	"fructose;mannose"	"gnl|TC-DB|C8X4S8|4.A.6.2.2 PTS system mannose/fructose/sorbose family IID component OS=Desulfohalobium retbaense (strain ATCC 49708 / DSM 5692 / JCM 16813 / HR100) GN=Dret_2017 PE=4 SV=1"
"gnl|TC-DB|C9MZ78|4.A.5.1.6"	"PTS system, Lactose/Cellobiose specific IIB subunit"	"4.A.5.1.6"	"EX_cellb(e);EX_lcts(e)"	"cellobiose;lactose"	"gnl|TC-DB|C9MZ78|4.A.5.1.6 PTS system, Lactose/Cellobiose specific IIB subunit OS=Leptotrichia hofstadii F0254 GN=GCWU000323_01875 PE=4 SV=1"
"gnl|TC-DB|D0JBC9|1.A.8.2.9"	"Putative glycerol diffusion channel"	"1.A.8.2.9"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D0JBC9|1.A.8.2.9 Putative glycerol diffusion channel OS=Blattabacterium sp. subsp. Blattella germanica (strain Bge) GN=glpF PE=3 SV=1"
"gnl|TC-DB|D1GC38|2.A.2.4.5"	"Sucrose transporter 1"	"2.A.2.4.5"	"EX_sucr(e)"	"Sucrose"	"gnl|TC-DB|D1GC38|2.A.2.4.5 Sucrose transporter 1 OS=Verbascum phoeniceum GN=SUT1 PE=2 SV=1"
"gnl|TC-DB|D2BKY7|4.A.6.1.11"	"Mannose-specificPTS system, IIAB component"	"4.A.6.1.11"	"EX_man(e)"	"mannose"	"gnl|TC-DB|D2BKY7|4.A.6.1.11 Mannose-specificPTS system, IIAB component OS=Lactococcus lactis subsp. lactis (strain KF147) GN=ptnAB PE=4 SV=1"
"gnl|TC-DB|D2BKY8|4.A.6.1.11"	"Mannose-specific PTS system, IIC component"	"4.A.6.1.11"	"EX_man(e)"	"mannose"	"gnl|TC-DB|D2BKY8|4.A.6.1.11 Mannose-specific PTS system, IIC component OS=Lactococcus lactis subsp. lactis (strain KF147) GN=ptnC PE=4 SV=1"
"gnl|TC-DB|D2BKY9|4.A.6.1.11"	"Mannose-specific PTS system, IID component"	"4.A.6.1.11"	"EX_man(e)"	"mannose"	"gnl|TC-DB|D2BKY9|4.A.6.1.11 Mannose-specific PTS system, IID component OS=Lactococcus lactis subsp. lactis (strain KF147) GN=ptnD PE=4 SV=1"
"gnl|TC-DB|D2RXA4|4.A.2.1.14"	"PTS system, fructose-specific, IIB subunnit"	"4.A.2.1.14"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|D2RXA4|4.A.2.1.14 PTS system, fructose-specific, IIB subunnit OS=Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734) GN=Htur_2755 PE=4 SV=1"
"gnl|TC-DB|D2RXA8|4.A.2.1.14"	"PTS system, fructose subfamily, IIC subunit"	"4.A.2.1.14"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|D2RXA8|4.A.2.1.14 PTS system, fructose subfamily, IIC subunit OS=Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / NCIMB 13204 / VKM B-1734) GN=Htur_2759 PE=4 SV=1"
"gnl|TC-DB|D5APM1|2.A.21.7.5"	"Cation/acetate symporter ActP-2"	"2.A.21.7.5"	"EX_ac(e)"	"acetate"	"gnl|TC-DB|D5APM1|2.A.21.7.5 Cation/acetate symporter ActP-2 OS=Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003) GN=actP3 PE=3 SV=1"
"gnl|TC-DB|D5AU53|2.A.21.7.4"	"Cation/acetate symporter ActP-1"	"2.A.21.7.4"	"EX_ac(e)"	"acetate"	"gnl|TC-DB|D5AU53|2.A.21.7.4 Cation/acetate symporter ActP-1 OS=Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003) GN=actP1 PE=3 SV=1"
"gnl|TC-DB|D5XCZ0|9.B.142.6.2"	"4-amino-4-deoxy-L-arabinose transferase-like glycosyltransferase of PMT family"	"9.B.142.6.2"	"EX_arab_L(e)"	"L-Arabinose"	"gnl|TC-DB|D5XCZ0|9.B.142.6.2 4-amino-4-deoxy-L-arabinose transferase-like glycosyltransferase of PMT family OS=Thermincola potens (strain JR) GN=TherJR_2834 PE=4 SV=1"
"gnl|TC-DB|D6I8Y6|4.F.1.3.3"	"CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase"	"4.F.1.3.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D6I8Y6|4.F.1.3.3 CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase OS=Escherichia coli B185 GN=ECDG_01307 PE=4 SV=1"
"gnl|TC-DB|D7AXM6|2.A.11.2.3"	"Citrate transporter"	"2.A.11.2.3"	"EX_cit(e)"	"citrate"	"gnl|TC-DB|D7AXM6|2.A.11.2.3 Citrate transporter OS=Nocardiopsis dassonvillei (strain ATCC 23218 / DSM 43111 / IMRU 509 / JCM 7437 / NCTC 10488) GN=Ndas_2511 PE=4 SV=1"
"gnl|TC-DB|D7V7W8|1.A.8.2.5"	"MIP family glycerol uptake facilitator protein GlpF"	"1.A.8.2.5"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D7V7W8|1.A.8.2.5 MIP family glycerol uptake facilitator protein GlpF OS=Lactobacillus plantarum subsp. plantarum ATCC 14917 GN=glpF2 PE=3 SV=1"
"gnl|TC-DB|D7V8E7|1.A.8.2.6"	"MIP family glycerol uptake facilitator protein GlpF"	"1.A.8.2.6"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D7V8E7|1.A.8.2.6 MIP family glycerol uptake facilitator protein GlpF OS=Lactobacillus plantarum subsp. plantarum ATCC 14917 GN=glpF3 PE=3 SV=1"
"gnl|TC-DB|D7VC84|1.A.8.2.8"	"MIP family glycerol uptake facilitator protein GlpF"	"1.A.8.2.8"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D7VC84|1.A.8.2.8 MIP family glycerol uptake facilitator protein GlpF OS=Lactobacillus plantarum subsp. plantarum ATCC 14917 GN=glpF6 PE=3 SV=1"
"gnl|TC-DB|D7VEY8|1.A.8.2.7"	"MIP family glycerol uptake facilitator protein GlpF"	"1.A.8.2.7"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D7VEY8|1.A.8.2.7 MIP family glycerol uptake facilitator protein GlpF OS=Lactobacillus plantarum subsp. plantarum ATCC 14917 GN=glpF4 PE=3 SV=1"
"gnl|TC-DB|D7VF10|1.A.8.13.3"	"MIP family glycerol uptake facilitator protein GlpF"	"1.A.8.13.3"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D7VF10|1.A.8.13.3 MIP family glycerol uptake facilitator protein GlpF OS=Lactobacillus plantarum subsp. plantarum ATCC 14917 GN=glpF5 PE=3 SV=1"
"gnl|TC-DB|D8J2B2|4.F.1.3.4"	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	"4.F.1.3.4"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|D8J2B2|4.F.1.3.4 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Halalkalicoccus jeotgali (strain DSM 18796 / CECT 7217 / JCM 14584 / KCTC 4019 / B3) GN=HacjB3_07420 PE=3 SV=1"
"gnl|TC-DB|D9IWI0|2.A.36.7.9"	"Sodium/hydrogen exchanger (Fragment)"	"2.A.36.7.9"	"EX_h2(e)"	"Hydrogen"	"gnl|TC-DB|D9IWI0|2.A.36.7.9 Sodium/hydrogen exchanger (Fragment) OS=Plasmodium falciparum GN=nhe-1 PE=4 SV=1"
"gnl|TC-DB|E1UCI0|4.A.6.1.15"	"PTS system, mannose-specific, IIAB component"	"4.A.6.1.15"	"EX_man(e)"	"mannose"	"gnl|TC-DB|E1UCI0|4.A.6.1.15 PTS system, mannose-specific, IIAB component OS=Listeria monocytogenes serotype 4a (strain L99) GN=manL PE=4 SV=1"
"gnl|TC-DB|E1UCI1|4.A.6.1.15"	"PTS system, mannose/fructose/sorbose family, IIC component"	"4.A.6.1.15"	"EX_fru(e);EX_man(e)"	"fructose;mannose"	"gnl|TC-DB|E1UCI1|4.A.6.1.15 PTS system, mannose/fructose/sorbose family, IIC component OS=Listeria monocytogenes serotype 4a (strain L99) GN=manM PE=4 SV=1"
"gnl|TC-DB|E1UCI2|4.A.6.1.15"	"PTS system, mannose/fructose/sorbose family, IID component"	"4.A.6.1.15"	"EX_fru(e);EX_man(e)"	"fructose;mannose"	"gnl|TC-DB|E1UCI2|4.A.6.1.15 PTS system, mannose/fructose/sorbose family, IID component OS=Listeria monocytogenes serotype 4a (strain L99) GN=manN PE=4 SV=1"
"gnl|TC-DB|E3TDI9|1.C.111.1.7"	"Lactose-binding lectin l-2"	"1.C.111.1.7"	"EX_lcts(e)"	"lactose"	"gnl|TC-DB|E3TDI9|1.C.111.1.7 Lactose-binding lectin l-2 OS=Ictalurus furcatus GN=AJL2 PE=2 SV=1"
"gnl|TC-DB|F2F2N1|1.E.31.3.2"	"Phosphotransferase system IIC component, glucose/maltose/N-acetylglucosamine-specific"	"1.E.31.3.2"	"EX_malt(e);EX_glc(e)"	"Maltose;glucose"	"gnl|TC-DB|F2F2N1|1.E.31.3.2 Phosphotransferase system IIC component, glucose/maltose/N-acetylglucosamine-specific OS=Solibacillus silvestris (strain StLB046) GN=SSIL_1446 PE=4 SV=1"
"gnl|TC-DB|F2YNF6|1.A.8.8.11"	"Aquaporin water channel (Fragment)"	"1.A.8.8.11"	"EX_h2o(e)"	"Water"	"gnl|TC-DB|F2YNF6|1.A.8.8.11 Aquaporin water channel (Fragment) OS=Anopheles gambiae GN=AQP1 PE=2 SV=1"
"gnl|TC-DB|F8Y3B4|4.A.2.1.21"	"Putative PTS system, fructose-specific IIA component"	"4.A.2.1.21"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|F8Y3B4|4.A.2.1.21 Putative PTS system, fructose-specific IIA component OS=Streptococcus agalactiae FSL S3-026 GN=FSLSAGS3026_11070 PE=4 SV=1"
"gnl|TC-DB|F8Y3B5|4.A.2.1.21"	"Putative PTS system fructose-specific IIBC component"	"4.A.2.1.21"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|F8Y3B5|4.A.2.1.21 Putative PTS system fructose-specific IIBC component OS=Streptococcus agalactiae FSL S3-026 GN=FSLSAGS3026_11075 PE=4 SV=1"
"gnl|TC-DB|F9A868|1.A.16.1.3"	"Putative formate transporter 1"	"1.A.16.1.3"	"EX_for(e)"	"formate"	"gnl|TC-DB|F9A868|1.A.16.1.3 Putative formate transporter 1 OS=Vibrio cholerae HCUF01 GN=focA PE=4 SV=1"
"gnl|TC-DB|F9VN10|3.D.10.1.4"	"Succinate dehydrogenase flavoprotein subunit"	"3.D.10.1.4"	"EX_succ(e)"	"succinate"	"gnl|TC-DB|F9VN10|3.D.10.1.4 Succinate dehydrogenase flavoprotein subunit OS=Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) GN=sdhA PE=4 SV=1"
"gnl|TC-DB|F9VN11|3.D.10.1.4"	"Succinate dehydrogenase iron-sulfur protein subunit"	"3.D.10.1.4"	"EX_succ(e)"	"succinate"	"gnl|TC-DB|F9VN11|3.D.10.1.4 Succinate dehydrogenase iron-sulfur protein subunit OS=Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) GN=shdB PE=4 SV=1"
"gnl|TC-DB|F9VN12|3.D.10.1.4"	"Succinate dehydrogenase subunit SdhC"	"3.D.10.1.4"	"EX_succ(e)"	"succinate"	"gnl|TC-DB|F9VN12|3.D.10.1.4 Succinate dehydrogenase subunit SdhC OS=Sulfolobus tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) GN=sdhC PE=4 SV=1"
"gnl|TC-DB|G3JCK4|1.A.8.9.8"	"Glycerol uptake facilitator, putative"	"1.A.8.9.8"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|G3JCK4|1.A.8.9.8 Glycerol uptake facilitator, putative OS=Cordyceps militaris (strain CM01) GN=CCM_02085 PE=3 SV=1"
"gnl|TC-DB|G3MDF0|2.A.36.5.4"	"Sodium/hydrogen exchanger"	"2.A.36.5.4"	"EX_h2(e)"	"Hydrogen"	"gnl|TC-DB|G3MDF0|2.A.36.5.4 Sodium/hydrogen exchanger OS=Vigna radiata GN=nhx1 PE=2 SV=1"
"gnl|TC-DB|G4N740|2.A.1.1.117"	"Glucose transporter rco-3"	"2.A.1.1.117"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|G4N740|2.A.1.1.117 Glucose transporter rco-3 OS=Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) GN=MGG_03620 PE=3 SV=1"
"gnl|TC-DB|G8LJX5|9.B.142.2.2"	"Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase"	"9.B.142.2.2"	"EX_arab_L(e)"	"L-Arabinose"	"gnl|TC-DB|G8LJX5|9.B.142.2.2 Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Enterobacter cloacae EcWSU1 GN=arnT PE=3 SV=1"
"gnl|TC-DB|G9BMI9|2.A.1.19.49"	"Glucose transporter 1"	"2.A.1.19.49"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|G9BMI9|2.A.1.19.49 Glucose transporter 1 OS=Litopenaeus vannamei GN=Gluct1 PE=2 SV=1"
"gnl|TC-DB|H1XUM6|4.A.6.1.20"	"PTS system fructose subfamily IIA component"	"4.A.6.1.20"	"EX_fru(e)"	"fructose"	"gnl|TC-DB|H1XUM6|4.A.6.1.20 PTS system fructose subfamily IIA component OS=Caldithrix abyssi DSM 13497 GN=Calab_0888 PE=4 SV=1"
"gnl|TC-DB|H1XXZ1|4.A.6.1.20"	"PTS system mannose/fructose/sorbose family IID component"	"4.A.6.1.20"	"EX_fru(e);EX_man(e)"	"fructose;mannose"	"gnl|TC-DB|H1XXZ1|4.A.6.1.20 PTS system mannose/fructose/sorbose family IID component OS=Caldithrix abyssi DSM 13497 GN=Calab_1240 PE=4 SV=1"
"gnl|TC-DB|H8KSM2|9.B.142.2.6"	"PMT family glycosyltransferase, 4-amino-4-deoxy-L-arabinose transferase"	"9.B.142.2.6"	"EX_arab_L(e)"	"L-Arabinose"	"gnl|TC-DB|H8KSM2|9.B.142.2.6 PMT family glycosyltransferase, 4-amino-4-deoxy-L-arabinose transferase OS=Solitalea canadensis (strain ATCC 29591 / DSM 3403 / NBRC 15130 / NCIMB 12057 / USAM 9D) GN=Solca_3569 PE=4 SV=1"
"gnl|TC-DB|I3CAS8|2.A.7.6.3"	"L-rhamnose-proton symport protein (RhaT)"	"2.A.7.6.3"	"EX_rmn(e)"	"L-Rhamnose"	"gnl|TC-DB|I3CAS8|2.A.7.6.3 L-rhamnose-proton symport protein (RhaT) OS=Joostella marina DSM 19592 GN=JoomaDRAFT_3791 PE=4 SV=1"
"gnl|TC-DB|K0WKG7|4.F.1.1.8"	"CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"	"4.F.1.1.8"	"EX_glyc(e)"	"Glycerol"	"gnl|TC-DB|K0WKG7|4.F.1.1.8 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Pseudomonas fluorescens R124 GN=I1A_002902 PE=3 SV=1"
"gnl|TC-DB|L0R9B7|4.A.6.2.1"	"PTS system mannose/fructose/sorbose family IID component"	"4.A.6.2.1"	"EX_fru(e);EX_man(e)"	"fructose;mannose"	"gnl|TC-DB|L0R9B7|4.A.6.2.1 PTS system mannose/fructose/sorbose family IID component OS=Desulfovibrio hydrothermalis AM13 = DSM 14728 GN=DESAM_20498 PE=4 SV=1"
"gnl|TC-DB|L8DP77|2.A.7.5.5"	"Glucose transporter GlcU"	"2.A.7.5.5"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|L8DP77|2.A.7.5.5 Glucose transporter GlcU OS=Listeria monocytogenes GN=BN418_0174 PE=4 SV=1"
"gnl|TC-DB|L8FFP2|2.A.1.2.95"	"High-affinity glucose transporter"	"2.A.1.2.95"	"EX_glc(e)"	"glucose"	"gnl|TC-DB|L8FFP2|2.A.1.2.95 High-affinity glucose transporter OS=Mycobacterium smegmatis MKD8 GN=blt PE=4 SV=1"
"gnl|TC-DB|M1Q159|2.A.1.6.13"	"Acetate/monochloroacetate permease Deh4p"	"2.A.1.6.13"	"EX_ac(e)"	"acetate"	"gnl|TC-DB|M1Q159|2.A.1.6.13 Acetate/monochloroacetate permease Deh4p OS=Dehalococcoides mccartyi DCMB5 GN=dcmb_1158 PE=4 SV=1"
"gnl|TC-DB|M2VXR7|2.A.1.2.80"	"MFS transporter, tetracycline:hydrogen antiporter"	"2.A.1.2.80"	"EX_h2(e)"	"Hydrogen"	"gnl|TC-DB|M2VXR7|2.A.1.2.80 MFS transporter, tetracycline:hydrogen antiporter OS=Galdieria sulphuraria GN=Gasu_44180 PE=4 SV=1"
"gnl|TC-DB|M5UGY9|2.A.7.6.2"	"L-rhamnose-proton symporter"	"2.A.7.6.2"	"EX_rmn(e)"	"L-Rhamnose"	"gnl|TC-DB|M5UGY9|2.A.7.6.2 L-rhamnose-proton symporter OS=Rhodopirellula sallentina SM41 GN=RSSM_03312 PE=4 SV=1"
