# gapseq version: 2.1.0 0779b300
# Transporter sequence DB md5sum: b99a77e (2024-08-26)
# genome_format=prot
id	tc	sub	sub_gapseq	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.3	1.57e-19	82.8	88.5	MYb71_2_1786 # 1879507 # 1880337 # -1 # ID=2_1786;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.582	3	246	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	32.7	1.22e-19	82.8	77.8	MYb71_2_30 # 27438 # 28217 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.576	12	209	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	31.8	3.65e-19	81.3	82	MYb71_1_1450 # 1484176 # 1484916 # 1 # ID=1_1450;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.548	1	214	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.8	1.13e-18	80.1	80.8	MYb71_2_947 # 954771 # 955541 # 1 # ID=2_947;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588	1	213	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	26.2	9.37e-09	52	78.2	MYb71_1_1676 # 1711529 # 1712338 # -1 # ID=1_1676;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546	8	215	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	41.6	7.18e-54	174	93.4	MYb71_2_254 # 255327 # 256166 # 1 # ID=2_254;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589	8	276	transporter
gnl|TC-DB|Q8F2Y8|1.A.12.2.2	1.A.12.2.2	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q8F2Y8|1.A.12.2.2	26.1	1.15e-13	64.7	89.4	MYb71_1_1056 # 1106169 # 1106819 # -1 # ID=1_1056;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.570	1	194	transporter
gnl|TC-DB|P0ACA3|1.A.12.3.1	1.A.12.3.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P0ACA3|1.A.12.3.1	30.8	1.15e-10	56.2	75.9	MYb71_1_1056 # 1106169 # 1106819 # -1 # ID=1_1056;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.570	1	167	transporter
gnl|TC-DB|P55891|1.A.30.1.7	1.A.30.1.7	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55891|1.A.30.1.7	41.1	1.3e-65	204	94.9	MYb71_2_592 # 592832 # 593704 # -1 # ID=2_592;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.578	3	282	transporter
gnl|TC-DB|P55892|1.A.30.1.7	1.A.30.1.7	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P55892|1.A.30.1.7	26.2	2.98e-22	92.8	83.5	MYb71_2_610 # 607449 # 608564 # 1 # ID=2_610;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588	11	367	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	54.9	4.81e-67	208	90.6	MYb71_1_2190 # 2259389 # 2260423 # -1 # ID=1_2190;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625	108	329	transporter
gnl|TC-DB|P0ABV2|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV2|1.A.30.2.1	61	9.26e-49	151	99.3	MYb71_1_2189 # 2258887 # 2259384 # -1 # ID=1_2189;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598	1	141	transporter
gnl|TC-DB|P0ABU7|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU7|1.A.30.2.1	39.1	1.55e-38	131	88.9	MYb71_1_2227 # 2296943 # 2297653 # -1 # ID=1_2227;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.581	12	229	transporter
gnl|TC-DB|P0ABV2|1.A.30.2.1	1.A.30.2.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV2|1.A.30.2.1	43.7	1.29e-25	92	84.4	MYb71_1_2226 # 2296444 # 2296869 # -1 # ID=1_2226;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.566	16	134	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	44	3.34e-52	166	94.8	MYb71_1_2227 # 2296943 # 2297653 # -1 # ID=1_2227;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.581	12	227	transporter
gnl|TC-DB|P0ABU9|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABU9|1.A.30.2.2	38.8	2.26e-24	96.3	83	MYb71_1_2190 # 2259389 # 2260423 # -1 # ID=1_2190;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625	112	300	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	35.3	3.34e-20	78.2	95.1	MYb71_1_2226 # 2296444 # 2296869 # -1 # ID=1_2226;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.566	7	135	transporter
gnl|TC-DB|P0ABV8|1.A.30.2.2	1.A.30.2.2	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P0ABV8|1.A.30.2.2	31.6	3.33e-14	63.2	95.8	MYb71_1_2189 # 2258887 # 2259384 # -1 # ID=1_2189;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598	6	134	transporter
gnl|TC-DB|P37002|1.A.43.1.1	1.A.43.1.1	Chloride	Cl-	EX_cpd00099_e0	rxn18908	gnl|TC-DB|P37002|1.A.43.1.1	37	2.11e-20	78.2	80.3	MYb71_2_1206 # 1233144 # 1233572 # -1 # ID=2_1206;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531	1	104	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Potassium	K+	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q981D4|1.A.62.3.1	30.1	3.6e-18	76.6	94.1	MYb71_1_177 # 196861 # 197517 # -1 # ID=1_177;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.586	5	196	transporter
gnl|TC-DB|Q981D4|1.A.62.3.1	1.A.62.3.1	Sodium	Sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|Q981D4|1.A.62.3.1	30.1	3.6e-18	76.6	94.1	MYb71_1_177 # 196861 # 197517 # -1 # ID=1_177;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.586	5	196	transporter
gnl|TC-DB|P0AER0|1.A.8.1.1	1.A.8.1.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P0AER0|1.A.8.1.1	29.1	2.9e-22	89.7	87.2	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	7	227	transporter
gnl|TC-DB|BBB86745|1.A.8.1.2	1.A.8.1.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|BBB86745|1.A.8.1.2	31.3	6.23e-23	91.3	90.7	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	3	225	transporter
gnl|TC-DB|P26587|1.A.8.10.1	1.A.8.10.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P26587|1.A.8.10.1	35.4	2.17e-24	95.1	80.6	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	7	222	transporter
gnl|TC-DB|P26587|1.A.8.10.1	1.A.8.10.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P26587|1.A.8.10.1	35.4	2.17e-24	95.1	80.6	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	7	222	transporter
gnl|TC-DB|O94778|1.A.8.10.15	1.A.8.10.15	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|O94778|1.A.8.10.15	34.3	3.51e-25	97.1	78.5	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	8	220	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9XG70|1.A.8.10.2	33.2	7.17e-24	93.2	86.6	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	2	223	transporter
gnl|TC-DB|Q9XG70|1.A.8.10.2	1.A.8.10.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9XG70|1.A.8.10.2	33.2	7.17e-24	93.2	86.6	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	2	223	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P25818|1.A.8.10.3	33.9	2.95e-17	75.5	84.1	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	7	222	transporter
gnl|TC-DB|P25818|1.A.8.10.3	1.A.8.10.3	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P25818|1.A.8.10.3	33.9	2.95e-17	75.5	84.1	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	7	222	transporter
gnl|TC-DB|Q9FGL2|1.A.8.10.4	1.A.8.10.4	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|Q9FGL2|1.A.8.10.4	33.6	1.33e-26	100	84	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	7	221	transporter
gnl|TC-DB|BBB86746|1.A.8.11.8	1.A.8.11.8	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|BBB86746|1.A.8.11.8	26.9	1.3e-18	80.1	76.4	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	8	214	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	Ammonia	Ammonium	EX_cpd00013_e0	rxn05466	gnl|TC-DB|P08995|1.A.8.12.1	38.3	1.5e-37	129	77.1	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	2	222	transporter
gnl|TC-DB|P08995|1.A.8.12.1	1.A.8.12.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P08995|1.A.8.12.1	38.3	1.5e-37	129	77.1	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	2	222	transporter
gnl|TC-DB|Q8W037|1.A.8.12.4	1.A.8.12.4	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q8W037|1.A.8.12.4	31.6	3.15e-26	100	75.3	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	2	224	transporter
gnl|TC-DB|O28846|1.A.8.13.1	1.A.8.13.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|O28846|1.A.8.13.1	32.6	4.16e-28	104	93.5	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	1	219	transporter
gnl|TC-DB|Q9C4Z5|1.A.8.13.2	1.A.8.13.2	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|Q9C4Z5|1.A.8.13.2	35.3	1.92e-34	120	98.8	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	1	227	transporter
gnl|TC-DB|D7VF10|1.A.8.13.3	1.A.8.13.3	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VF10|1.A.8.13.3	38.2	5.33e-39	131	100	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	2	228	transporter
gnl|TC-DB|P18156|1.A.8.2.1	1.A.8.2.1	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|P18156|1.A.8.2.1	29.6	4.81e-20	83.6	78.8	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	8	217	transporter
gnl|TC-DB|D7V8E7|1.A.8.2.6	1.A.8.2.6	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7V8E7|1.A.8.2.6	30.3	1.19e-23	92.4	96.3	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	4	224	transporter
gnl|TC-DB|D7VEY8|1.A.8.2.7	1.A.8.2.7	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VEY8|1.A.8.2.7	33.9	2.18e-20	84	95.2	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	4	222	transporter
gnl|TC-DB|D7VC84|1.A.8.2.8	1.A.8.2.8	Glycerol	Glycerol	EX_cpd00100_e0	rxn05581,rxn08658,rxn32260,rxn38745	gnl|TC-DB|D7VC84|1.A.8.2.8	25.2	1.64e-09	53.5	99.2	MYb71_1_2448 # 2532214 # 2532900 # 1 # ID=1_2448;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608	1	226	transporter
